Title,Published_date,Views,Likes,Comments,CategoryId,VideoId,Channel
1 Tank vs 10 Cars!,2023-02-07,5975372,217363,4415,24,F5wMOCZHcH4,Beast Reacts
Extremely Satisfying Workers!,2023-01-26,8978895,227422,4964,24,ZGNj5lOtNnI,Beast Reacts
I Strapped A GoPro To A Fish!,2023-01-05,10128411,268265,4710,24,NigrQ9UcJy4,Beast Reacts
Most Viewed YouTube Video!,2023-01-01,8034736,426237,1105,24,0Onuvef2Ul8,Beast Reacts
Impossible Moments Caught On Camera!,2022-12-07,11677911,262392,3673,24,I4bxOuhl8TE,Beast Reacts
Most Dangerous Animals!,2022-12-01,12435372,268563,4855,24,RcTLBsXvzQk,Beast Reacts
Insane Mountain Bike Downhill!,2022-11-21,10595980,255398,3836,24,5gAAAOkqaxg,Beast Reacts
Extreme Try Not To Laugh Challenge!,2022-11-03,25240655,437001,7927,24,HR1ig6u9-6A,Beast Reacts
Most Popular TikToks!,2022-10-20,12245755,308627,5000,24,AOkNx8KAtR4,Beast Reacts
Impossible 0.00001% Odds!,2022-10-11,25097865,413095,6488,24,DvkTX-AquQo,Beast Reacts
World's Most Expensive Big Mac!,2022-10-09,30032207,1075373,6225,24,0RoQ3V26jYw,Beast Reacts
Stupid Things Billionaires Paid For!,2022-10-05,16518506,378995,6810,24,9ridm0GeHRg,Beast Reacts
Most Skilled Workers In The World!,2022-09-19,22573466,382893,7440,24,TbLm5CCAbIU,Beast Reacts
Unbelievable Places On Earth!,2022-09-12,15627500,380669,10972,24,qFYcwbu-H-s,Beast Reacts
How Ramen Noodles Are Made!,2022-09-10,18099516,827717,1741,24,OT-xDbFQ4aY,Beast Reacts
How Bubblegum Is Made!,2022-08-22,19186090,426955,8805,24,8kWrN2bgvSA,Beast Reacts
Worldu2019s Richest Youtuber!,2022-08-19,59284192,2753208,5358,24,T2nzYFz028U,Beast Reacts
100 Kids vs 1 Pro,2022-08-15,24039157,499077,7914,24,fqq9TSkSe2U,Beast Reacts
$1 Burger vs $10,000 Burger!,2022-08-02,20349873,461420,6979,24,Xzkzp2Y1t0o,Beast Reacts
Most Expensive Hotel Room!,2022-07-25,13553193,416221,27152,24,pgvBPAsDf2A,Beast Reacts
People With Amazing Talent!,2022-07-16,22644003,447378,7411,24,_t9LL1VcG3Q,Beast Reacts
